cat,var
10,total_compensation_k1000_10
33,total_compensation_k1000_33
37,total_compensation_k1000_37
91,total_compensation_k1000_91
116,total_compensation_k1000_116
130,total_compensation_k1000_130
142,total_compensation_k1000_142
174,total_compensation_k1000_174
180,total_compensation_k1000_180
218,total_compensation_k1000_218
239,total_compensation_k1000_239
244,total_compensation_k1000_244
263,total_compensation_k1000_263
271,total_compensation_k1000_271
280,total_compensation_k1000_280
292,total_compensation_k1000_292
301,total_compensation_k1000_301
304,total_compensation_k1000_304
305,total_compensation_k1000_305
311,total_compensation_k1000_311
312,total_compensation_k1000_312
315,total_compensation_k1000_315
317,total_compensation_k1000_317
322,total_compensation_k1000_322
329,total_compensation_k1000_329
330,total_compensation_k1000_330
336,total_compensation_k1000_336
337,total_compensation_k1000_337
386,total_compensation_k1000_386
417,total_compensation_k1000_417
432,total_compensation_k1000_432
441,total_compensation_k1000_441
442,total_compensation_k1000_442
448,total_compensation_k1000_448
506,total_compensation_k1000_506
514,total_compensation_k1000_514
515,total_compensation_k1000_515
528,total_compensation_k1000_528
556,total_compensation_k1000_556
557,total_compensation_k1000_557
612,total_compensation_k1000_612
618,total_compensation_k1000_618
624,total_compensation_k1000_624
626,total_compensation_k1000_626
627,total_compensation_k1000_627
630,total_compensation_k1000_630
633,total_compensation_k1000_633
638,total_compensation_k1000_638
649,total_compensation_k1000_649
654,total_compensation_k1000_654
661,total_compensation_k1000_661
671,total_compensation_k1000_671
672,total_compensation_k1000_672
674,total_compensation_k1000_674
682,total_compensation_k1000_682
683,total_compensation_k1000_683
695,total_compensation_k1000_695
702,total_compensation_k1000_702
705,total_compensation_k1000_705
708,total_compensation_k1000_708
724,total_compensation_k1000_724
736,total_compensation_k1000_736
740,total_compensation_k1000_740
755,total_compensation_k1000_755
773,total_compensation_k1000_773
790,total_compensation_k1000_790
812,total_compensation_k1000_812
829,total_compensation_k1000_829
848,total_compensation_k1000_848
849,total_compensation_k1000_849
866,total_compensation_k1000_866
880,total_compensation_k1000_880
963,total_compensation_k1000_963
964,total_compensation_k1000_964
