variable,weight
w_total_compensation_k50_20,177006.97678414683
w_total_compensation_k50_25,277568.32679370046
w_total_compensation_k50_27,188213.08287454632
w_total_compensation_k50_29,27154.948776399757
w_total_compensation_k50_39,111102.80512795516
w_total_compensation_k50_40,157390.8607340409
w_total_compensation_k50_41,116308.86262728005
w_total_compensation_k50_43,94886.29519141192
w_total_compensation_k50_5,37661.329543786
w_total_compensation_k50_50,301208.4984985992
w_total_compensation_k50_8,140450.54489127043
