title,sales_mkt_relatedness_gpt,prompt_version,model,scored_at_utc
.NET DevOps Engineer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
.NET Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
.NET Developer Intern,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
.NET Full Stack Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
.NET Programmer Analyst,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D CAD Designer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Creator,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Environment Artist,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Graphics Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Hard Surface Artist,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Interaction Designer,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Printing Engineer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Printing Instructor,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Printing Technician,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Prototyper,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D Visualizer,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
3D and VFX Artist,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
5G Engineer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
911 Operator,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
ABAP Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
ACH Operations,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
ADAS Engineer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AEM Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AGV Operator,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Analyst,15,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Consulting,25,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Data Analyst,15,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Data Strategist,25,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Designer,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Governance,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Innovator,15,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Leadership Roles,20,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Management Specialist,15,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Portfolio Manager,15,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Product Lead,25,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Product Owner,20,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Project Manager,15,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Quality Analyst,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Research,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Research Intern,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Research Scientist,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Sales Executive,90,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Sales Representative,85,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Software Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Solutions Architect,25,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Strategist,30,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Support Analyst,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI Training,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI and Data Science Consultant,25,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI and Machine Learning Trainer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AI product manager,20,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AML Compliance,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AML Director,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
AML Investigator,0,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
APAC Operations,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Advocate,35,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Analyst,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Architect,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Developer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Director,15,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Integration Specialist,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Integrator,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Product Manager,20,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Project Coordinator,10,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Support,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Support Engineer,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
API Tester,5,v2,gpt-5.2,2026-02-26T04:44:47.357306+00:00
