role_k1000_v3,role_k1000_v3_num,x_2d,y_2d
Aerospace Engineer,1,4.23767,7.88441
Aerospace Systems Technician,2,7.196322,8.612453
Aviation Safety Inspector,3,6.4631777,8.939508
Avionics Technician,4,7.237606,8.703791
Drone Operator,5,7.028996,8.83557
Meteorologist,6,5.9343963,8.20671
Military Pilot,7,7.1624084,8.803444
Nuclear Operations Technician,8,6.971463,8.413829
Radiation Safety,9,5.0565634,8.6907625
Safety and Security Officer,10,5.6901503,9.432837
Simulation Engineer,11,4.058,7.780609
BIM Modeler,12,4.8775544,7.6349425
Building Systems Designer,13,5.031548,7.827213
Construction Estimator,14,5.040137,7.468102
Construction Inspector,15,6.404389,8.922275
Construction Supervisor,16,7.657986,7.0555634
Cost Analyst,17,3.9899282,3.9404838
Design Engineer,18,4.3236475,7.809448
Energy Project Manager,19,5.447388,7.8962264
Healthcare Project Coordinator,20,2.3959732,4.724395
Lighting Designer,21,5.3303237,6.056842
Piping Engineer,22,4.581117,8.050416
Project Engineer,23,4.427306,7.9610248
Quantity Surveyor,24,5.134181,7.4352455
Structural Engineer,25,4.54028,8.175229
Technical Project Manager,26,2.0960207,4.808242
Transportation Engineer,27,4.6486354,8.114464
Wind Technician,28,7.3859863,8.434963
Audio Visual Technician,29,5.7190046,6.173285
Automation Systems Engineer,30,3.8693705,7.3814464
Building Systems Engineer,31,5.0751925,7.960746
Commissioning Engineer,32,4.932326,7.9930153
Corrosion Engineer,33,4.7504663,8.201476
Data Center Facilities,34,6.441274,7.2816143
Data Center Technician,35,6.4290233,7.420724
Electrical Maintenance Technician,36,7.2579017,8.156506
Electrical Trainer,37,8.371421,0.6709346
Electronics Engineer,38,4.171733,7.63477
Energy Engineer,39,5.5131383,7.982897
Energy Systems Engineer,40,5.4399943,7.9815426
Engineer,41,4.336267,7.921384
Engineering Innovator,42,4.195027,7.7323093
Engineering Intern,43,4.415947,7.9724765
Engineering Program Manager,44,2.0840402,4.9136086
Field Service Engineer,45,6.990292,8.024195
Fire Protection Engineer,46,5.2972565,8.680466
Fire and Security Installer,47,6.017863,9.073743
HVAC Coordinator,48,7.225078,7.169541
Human Factors Engineer,49,4.6504683,6.236013
Instrumentation Technician,50,7.180945,8.213545
Manufacturing Engineer,51,4.3083005,7.885577
Materials Engineer,52,4.6472983,8.2057295
Mechanical Engineer,53,4.457431,8.003993
Medical Device Engineer,54,4.1735015,7.693205
Nuclear Engineer,55,4.739651,8.184279
Operations Engineering,56,6.8154054,6.40869
Optical Engineer,57,4.2691646,7.366644
Reliability Engineer,58,4.0151105,7.525184
Safety Engineer,59,4.949617,8.661535
Solar Technician,60,7.457496,8.190971
Telecom Technician,61,5.213006,6.794018
Validation Engineer,62,3.6864178,7.836334
Archaeologist,63,5.786783,8.147189
Asbestos Technician,64,6.9543657,8.273446
Drilling Technician,65,7.6147666,8.287731
Environmental Analyst,66,6.0113244,8.077047
Environmental Scientist,67,6.069244,8.197921
Geologist,68,5.8034,8.221934
Geospatial Technician,69,5.304502,7.2755113
Geotechnical Engineer,70,4.8193827,8.239308
Land Planner,71,5.6964865,7.104025
Land Surveyor,72,5.352199,7.310698
Transportation Technician,73,8.907027,6.791348
Urban Planner,74,5.8050985,7.041972
Water Management Engineer,75,4.6724286,8.12752
Water Resources Engineer,76,4.7293916,8.18293
Certification Analyst,77,3.3902113,3.038346
Document Manager,78,4.412833,1.6671878
Ergonomics Consultant,79,4.35906,5.7209496
Fire Safety Inspector,80,6.053655,9.046357
Food Safety Inspector,81,6.414865,8.921246
Non-Destructive Testing Technician,82,7.088416,8.403413
Pharmaceutical Quality Assurance,83,3.104657,8.147804
Product Safety Analyst,84,3.4076614,8.158129
Quality Assurance,85,3.156515,8.124778
Quality Assurance Analyst,86,3.1321638,8.104391
Quality Inspector,87,6.402971,8.940682
Safety Coordinator,88,5.4299936,9.003449
Electric Vehicle Consultant,89,6.738982,4.637308
Energy Specialist,90,5.6081614,7.968527
Meter Data Analyst,91,5.678301,7.8857107
Offshore Operations Coordinator,92,6.969545,6.951887
Oil and Gas Analyst,93,5.744935,7.998269
Renewable Energy Consultant,94,5.6246443,7.8568735
Renewable Energy Specialist,95,5.5817327,7.9133983
Sustainability Analyst,96,6.002161,7.9961224
Transmission Operator,97,8.230426,7.712538
Utility Operations,98,7.5192165,7.42533
Agricultural Scientist,99,6.2093596,8.375047
Application Scientist,100,2.491769,5.668243
Biologist,101,5.9624414,8.32223
Biomedical Engineer,102,4.1910887,7.779728
Chemical Engineer,103,4.718346,8.209006
Food Technologist,104,8.47952,4.8181176
Forensic Scientist,105,2.6172974,2.876843
Lab Technician,106,7.112957,8.297804
Patent Chemist,107,5.2273693,8.222272
Regulatory Analyst,108,3.3285828,2.9415224
Research Scientist,109,2.4215765,5.756946
