cat,var
130,weight_k1000_130
179,weight_k1000_179
182,weight_k1000_182
183,weight_k1000_183
184,weight_k1000_184
188,weight_k1000_188
189,weight_k1000_189
191,weight_k1000_191
197,weight_k1000_197
199,weight_k1000_199
200,weight_k1000_200
206,weight_k1000_206
208,weight_k1000_208
209,weight_k1000_209
210,weight_k1000_210
311,weight_k1000_311
315,weight_k1000_315
316,weight_k1000_316
317,weight_k1000_317
324,weight_k1000_324
325,weight_k1000_325
413,weight_k1000_413
417,weight_k1000_417
425,weight_k1000_425
433,weight_k1000_433
434,weight_k1000_434
439,weight_k1000_439
440,weight_k1000_440
442,weight_k1000_442
448,weight_k1000_448
552,weight_k1000_552
633,weight_k1000_633
644,weight_k1000_644
645,weight_k1000_645
652,weight_k1000_652
653,weight_k1000_653
654,weight_k1000_654
666,weight_k1000_666
673,weight_k1000_673
674,weight_k1000_674
675,weight_k1000_675
677,weight_k1000_677
678,weight_k1000_678
680,weight_k1000_680
682,weight_k1000_682
683,weight_k1000_683
686,weight_k1000_686
687,weight_k1000_687
688,weight_k1000_688
692,weight_k1000_692
702,weight_k1000_702
705,weight_k1000_705
706,weight_k1000_706
710,weight_k1000_710
711,weight_k1000_711
713,weight_k1000_713
715,weight_k1000_715
716,weight_k1000_716
720,weight_k1000_720
724,weight_k1000_724
725,weight_k1000_725
730,weight_k1000_730
735,weight_k1000_735
736,weight_k1000_736
740,weight_k1000_740
742,weight_k1000_742
849,weight_k1000_849
850,weight_k1000_850
