sm_type,role_k1000_v3_num
selected_vars_peremp_salary_count_50,187
selected_vars_peremp_salary_count_50,188
selected_vars_peremp_salary_count_50,189
selected_vars_peremp_salary_count_50,190
selected_vars_peremp_salary_count_50,191
selected_vars_peremp_salary_count_50,192
selected_vars_peremp_salary_count_50,193
selected_vars_peremp_salary_count_50,194
selected_vars_peremp_salary_count_50,195
selected_vars_peremp_salary_count_50,196
selected_vars_peremp_salary_count_50,309
selected_vars_peremp_salary_count_50,310
selected_vars_peremp_salary_count_50,311
selected_vars_peremp_salary_count_50,312
selected_vars_peremp_salary_count_50,313
selected_vars_peremp_salary_count_50,314
selected_vars_peremp_salary_count_50,315
selected_vars_peremp_salary_count_50,677
selected_vars_peremp_salary_count_50,678
selected_vars_peremp_salary_count_50,679
selected_vars_peremp_salary_count_50,680
selected_vars_peremp_salary_count_50,681
selected_vars_peremp_salary_count_50,682
selected_vars_peremp_salary_count_50,683
selected_vars_peremp_salary_count_50,684
selected_vars_peremp_salary_count_50,685
selected_vars_peremp_salary_count_50,686
selected_vars_peremp_salary_count_50,687
selected_vars_peremp_salary_count_50,688
selected_vars_peremp_salary_count_50,689
selected_vars_peremp_salary_count_50,690
selected_vars_peremp_salary_count_50,691
selected_vars_peremp_salary_count_50,692
selected_vars_peremp_salary_count_50,693
selected_vars_peremp_salary_count_50,694
